Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km],
RENAULT,New Mégane Coupé,1.5 dCi 86 DZ0A05,M5,1461,Diesel,5.1,4.0,4.4,55.4,70.6,64.2,115,1181,4,73.0,0.175,,0.224,0.244,0.021,
RENAULT,New Mégane Coupé,1.9 dCi 130 DZ0N06,M6,1870,Diesel,6.2,4.5,5.1,45.6,64.9,55.4,134,1369,4,74.9,0.217,,0.203,0.229,0.014,
RENAULT,New Mégane Coupé,1.5 dCi 106 DZ0B06,M6,1461,Diesel,5.5,4.0,4.5,51.4,70.6,62.8,120,1207,4,74.2,0.408,,0.221,0.273,0.139,
RENAULT,"Laguna Hatchback, Model Year 2010","2.0 16V 140 16"" Wheel",M6,1997,Petrol,10.5,6.2,7.6,26.9,45.6,37.2,180,1950,4,71.0,0.044,0.083,0.043,,,
RENAULT,"Laguna Hatchback, Model Year 2010","2.0 16V 140 17"" Wheel",M6,1997,Petrol,10.5,6.2,7.6,26.9,45.6,37.2,185,1950,4,71.0,0.440,0.083,0.043,,,
RENAULT,"Laguna Hatchback, Model Year 2010","1.5 dCi 110 16"" Wheel",M6,1461,Diesel,6.1,4.5,4.9,46.3,62.8,57.6,130,1316,4,71.6,0.406,,0.216,0.251,0.022,
RENAULT,"Laguna Hatchback, Model Year 2010",1.5 dCi 110 17,M6,1461,Diesel,6.1,4.6,5.1,46.3,61.4,55.4,136,1369,4,71.6,0.406,,0.216,0.251,0.022,
RENAULT,"Laguna Hatchback, Model Year 2010",2.0 dCi 130 ,M6,1995,Diesel,7.8,4.9,6.0,36.2,57.6,47.1,157,1610,4,73.2,0.342,,0.215,0.244,0.024,
RENAULT,"Laguna Hatchback, Model Year 2010",2.0 dCi 150,M6,1995,Diesel,7.8,4.9,6.0,36.2,57.6,47.1,157,1610,4,73.2,0.324,,0.215,0.244,0.024,
RENAULT,"Laguna Hatchback, Model Year 2010","2.0 dCi 150 FAP 16"" Wheel",M6,1995,Diesel,7.2,4.4,5.3,39.2,64.2,53.3,139,1423,4,70.8,0.375,,0.228,0.267,0.002,
RENAULT,"Laguna Hatchback, Model Year 2010","2.0 dCi 150 FAP 17/18"" Wheel",M6,1995,Diesel,7.3,4.6,5.4,38.7,61.4,51.4,144,1475,4,71.0,0.375,,0.228,0.261,0.002,
